Transition,λ,OscillatorStrength,DampingCoefficient
OVII_18,18.627991,0.146,9.35000014848e11
OVII_21,21.60169,0.696,3.32000002048e12
HeII_256,256.316986,0.079,1.897e8
HeII_303,303.782196,0.416,6.27e8
HeI_515,515.616516,0.0154,2.0e8
HeI_522,522.21283,0.0307,2.0e8
HeI_537,537.029602,0.0752,2.0e8
HeI_584,584.333984,0.285,2.0e8
MgX_609,609.789978,0.0842,2.0e8
MgX_624,624.950012,0.041,2.0e8
OIII_702,702.33197,0.137,2.0e8
NeVIII_770,770.408997,0.103,1.0e8
NeVIII_780,780.323975,0.0505,1.0e8
OIV_787,787.710999,0.11,2.0e8
OII_832,832.757202,0.0444,2.0e8
OIII_832,832.927002,0.107,2.0e8
OII_833,833.329407,0.0886,2.0e8
OII_834,834.465515,0.132,2.0e8
PIII_913,913.968018,0.2031,4.790000128e9
DI_915b,915.080017,0.000386,1.025e6
DI_915a,915.575012,0.000469,1.244e6
NII_915,915.612,0.1449,1.27e9
HI_915,915.823975,0.000469,1.243e6
DI_916b,916.179016,0.000577,1.531e6
HI_916,916.429016,0.000577,1.529e6
OI_916b,916.815002,0.000474,1.0e7
DI_916a,916.93103,0.000723,1.913e6
OI_916a,916.960022,0.000101,1.33e6
PIII_917,917.117981,0.4049,4.780000256e9
HI_917,917.180603,0.000723,1.911e6
DI_917,917.879028,0.000921,2.434e6
OI_918,918.044006,0.000614,1.0e7
HI_918,918.129395,0.000921,2.432e6
DI_919,919.10199,0.001201,3.162e6
OI_919c,919.221985,0.000132,1.74e6
HI_919,919.351379,0.0012,3.16e6
OI_919b,919.65802,0.000792,1.0e7
OI_919a,919.916992,0.000177,2.33e6
DI_920,920.711975,0.001605,4.214e6
HI_920,920.963074,0.001605,4.21e6
HI_920,920.963074,0.001605,4.21e6
OI_921,921.856995,0.00108,1.0e7
OI_922,922.200012,0.000245,3.21e6
DI_922,922.898987,0.002216,5.789e6
HI_923,923.150391,0.002216,5.785e6
OI_924,924.950012,0.00154,1.0e7
OI_925,925.445984,0.000354,4.6e6
DI_925,925.973694,0.003184,8.261e6
HI_926,926.225708,0.003183,8.255e6
OI_929,929.516785,0.00229,1.0e7
OI_930,930.256592,0.000537,6.9e6
DI_930,930.495117,0.004817,1.237e7
HI_930,930.748291,0.004814,1.236e7
SVI_933,933.377991,0.437,1.67e9
OI_936,936.629517,0.00365,1.704e7
DI_937,937.548401,0.007808,2.45e7
HI_937,937.803528,0.007799,2.45e7
OI_937,937.840515,0.000877,1.102e7
SVI_994,944.52301,0.215,1.61e9
OI_948,948.685486,0.00631,2.9e7
DI_949,949.48468,0.01395,4.204e7
Ly_d,949.743103,0.01394,4.204e7
PIV_950,950.656921,1.49,3.670000128e9
OI_950,950.884583,0.00158,3.876e7
NI_953c,953.414978,0.0132,2.19e8
NI_953b,953.655029,0.025,2.1e8
NI_953a,953.969971,0.0348,2.03e8
NI_954,954.104187,0.004,1.41e8
PII_961,961.041199,0.3489,5.089999872e9
PII_963,963.801025,1.458,4.14e9
NI_963,963.990295,0.01837,8.55e7
NI_964,964.62561,0.0118,8.31e7
NI_965,965.041321,0.005801,8.16e7
OI_971c,971.737122,0.000138,1.63e6
OI_971b,971.73761,0.00207,1.46e7
OI_971a,971.73822,0.0116,8.58e7
DI_972,972.272217,0.02901,8.127e7
Ly_g,972.536804,0.029,8.127e7
OI_976,976.44812,0.00331,8.01e7
CIII_977,977.020081,0.757,1.76e9
OI_988c,988.57782,0.000553,6.29e6
OI_988b,988.654907,0.0083,5.66e7
OI_988a,988.773376,0.0465,2.26e8
NIII_989,989.799011,0.1066,5.0e8
NIII_989,989.799011,0.1066,5.0e8
SiII_989,989.873108,0.171,6.67299968e8
PIII_997,997.999573,0.1117,2.22e9
SIII_1012,1012.494995,0.0438,2.81e8
SiII_1020,1020.698914,0.0168,6.68e8
DI_1025,1025.443359,0.0791,1.897e8
Ly_b,1025.72229,0.07912,1.897e8
OI_1025,1025.761597,0.0163,1.02e8
MgII_1025,1025.96814,0.000743,2.35e6
MgII_1026,1026.113403,0.000392,2.48e6
OI_1026,1026.475708,0.0,4.58e7
OVI_1031,1031.926147,0.1329,4.149e8
BeII_1036b,1036.29895,0.05538,1.846e8
BeII_1036a,1036.31897,0.02769,1.846e8
CII_1036,1036.33667,0.118,2.2e9
CIIstar_1037,1037.018188,0.118,2.2e9
OVI_1037,1037.616699,0.06609,4.076e8
OI_1039,1039.230347,0.00907,1.87e8
ArI_1048,1048.219849,0.263,3.18e7
FeII_1055,1055.261719,0.00615,4.61e7
FeII_1062,1062.151733,0.00291,1.72e7
SIV_1062,1062.66394,0.0494,1.69e8
FeII_1063b,1063.176392,0.0547,3.23e8
FeII_1063a,1063.971802,0.00475,3.5e7
ArI_1066,1066.65979,0.0675,1.32e8
FeII_1081,1081.874756,0.0126,2.0e8
FeII_1083,1083.42041,0.0028,2.0e8
NII_1083,1083.98999,0.1031,3.74e8
FeII_1096,1096.876953,0.0327,2.26e8
FeII_1106,1106.359619,0.000394,2.15e6
FeII_1112,1112.047974,0.00446,2.0e7
PV_1117,1117.977051,0.4732,1.26e9
FeII_1121,1121.974854,0.029,1.92e8
FeIII_1122,1122.524048,0.0544,3.7e8
FeII_1125,1125.447754,0.0156,1.03e8
FeII_1127,1127.098389,0.00112,5.89e6
PV_1128,1128.008057,0.2345,1.22e9
FeII_1133,1133.665405,0.00472,3.06e7
NI_1134c,1134.165283,0.01342,1.51e8
NI_1134b,1134.414917,0.02683,1.49e8
NI_1134a,1134.980347,0.04023,1.44e8
