Transition,Ion,λ,OscillatorStrength,DampingCoefficient,Mass
CrIII_912,CrIII,912.6621,0.000902,6.31e8,49.946
NII_915,NII,915.612,0.159,1.148e9,14.007
CrIII_918,CrIII,918.5792,0.00614,5.623e8,49.946
FeII_921,FeII,921.5006,0.000413,3.631e8,55.847
CrIII_923,CrIII,923.7891,0.0841,1.549e9,49.946
FeII_923,FeII,923.8782,0.00317,3.715e8,55.847
FeII_926,FeII,926.212,0.0402,3.467e8,55.847
FeII_926.9,FeII,926.8969,0.00428,4.365e8,55.847
FeII_928,FeII,928.3251,0.000328,2.239e8,55.847
SI_928,SI,928.9795,0.004,3.715e7,32.067
SI_929.0,SI,928.9795,0.00387,1.288e8,32.067
SI_928.98,SI,928.9795,0.00255,5.129e7,32.067
SI_928.980,SI,928.9795,0.00142,1.318e7,32.067
SI_928.9795,SI,928.9795,0.000182,9.12e7,32.067
SI_929,SI,929.5063,0.00411,4.898e7,32.067
SI_929.5,SI,929.5063,0.00273,1.66e8,32.067
SI_929.51,SI,929.5063,0.00163,7.413e7,32.067
SI_929.506,SI,929.5063,0.00146,3.715e7,32.067
CoIII_929,CoIII,929.9722,0.0102,9.12e8,58.933
SI_930,SI,930.1201,0.00321,2.818e7,32.067
SI_930.1,SI,930.1201,0.00198,1.514e7,32.067
SI_930.12,SI,930.1201,0.0017,8.511e7,32.067
SI_930.120,SI,930.1201,0.00126,4.571e7,32.067
SI_931,SI,931.09,0.00538,4.571e7,32.067
SI_931.1,SI,931.09,0.00275,1.905e7,32.067
SI_931.09,SI,931.09,0.00223,7.413e7,32.067
SI_931.090,SI,931.09,0.00126,4.898e7,32.067
SI_932,SI,932.0794,0.00625,5.37e7,32.067
SI_932.1,SI,932.0794,0.00318,2.188e7,32.067
SI_932.08,SI,932.0794,0.00218,7.244e7,32.067
FeII_932,FeII,932.6805,0.000276,5.37e7,55.847
FeII_932.9,FeII,932.861,0.000441,1.549e8,55.847
NiII_933,NiII,933.3397,0.00769,3.89e8,57.935
SI_933,SI,933.5325,0.0124,1.072e8,32.067
SI_933.5,SI,933.5325,0.00545,1.778e8,32.067
NiII_933.9,NiII,933.8619,0.00027,1.122e8,57.935
FeII_934,FeII,934.2444,0.000102,2.239e8,55.847
SI_935,SI,935.1912,0.00984,8.511e7,32.067
FeII_935,FeII,935.5174,0.00348,3.311e7,55.847
FeII_935.8,FeII,935.7722,0.000785,2.63e8,55.847
CoIII_936,CoIII,936.6365,0.0458,9.12e8,58.933
FeII_937.7,FeII,937.6513,0.0222,1.585e8,55.847
FeII_937.9,FeII,937.8696,0.000127,2.188e8,55.847
SI_937,SI,937.9631,0.000172,7.943e7,32.067
FeII_938,FeII,938.0109,0.00278,1.698e8,55.847
CoIII_939,CoIII,939.0606,0.0885,1.622e9,58.933
FeII_939,FeII,939.1605,0.00199,2.884e8,55.847
SI_940,SI,940.1147,0.00144,5.012e7,32.067
SI_940.1,SI,940.1147,0.00064,9.333e6,32.067
FeII_940,FeII,940.1921,0.0144,1.445e8,55.847
SI_940.6,SI,940.6453,0.0253,2.291e8,32.067
SI_940.65,SI,940.6453,0.0138,8.71e7,32.067
